stamp;soll-tr1;soll-nolimit-tr1;ist-tr1;soll-tr2;soll-nolimit-tr2;ist-tr2;soll-tr3;soll-nolimit-tr3;ist-tr3;soll-tr4;soll-nolimit-tr4;ist-tr4;soll-tr5;soll-nolimit-tr5;ist-tr5;soll-tr6;soll-nolimit-tr6;ist-tr6;soll-tr7;soll-nolimit-tr7;ist-tr7;soll-tr8;soll-nolimit-tr8;ist-tr8;soll-tr9;soll-nolimit-tr9;ist-tr9;soll-tr10;soll-nolimit-tr10;ist-tr10;soll-tr11;soll-nolimit-tr11;ist-tr11;soll-tr12;soll-nolimit-tr12;ist-tr12;soll-tr13;soll-nolimit-tr13;ist-tr13;soll-tr14;soll-nolimit-tr14;ist-tr14;soll-tr15;soll-nolimit-tr15;ist-tr15;soll-tr16;soll-nolimit-tr16;ist-tr16;soll-tr17;soll-nolimit-tr17;ist-tr17;soll-tr18;soll-nolimit-tr18;ist-tr18;soll-tr19;soll-nolimit-tr19;ist-tr19;soll-tr20;soll-nolimit-tr20;ist-tr20;soll-tr21;soll-nolimit-tr21;ist-tr21;soll-tr22;soll-nolimit-tr22;ist-tr22;soll-tr23;soll-nolimit-tr23;ist-tr23;soll-tr24;soll-nolimit-tr24;ist-tr24;soll-tr25;soll-nolimit-tr25;ist-tr25;soll-tr26;soll-nolimit-tr26;ist-tr26;soll-tr27;soll-nolimit-tr27;ist-tr27;soll-tr28;soll-nolimit-tr28;ist-tr28
"2021-07-01 05:30:00";0.06;0.06;0;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.07;0.07;;0.07;0.07;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.07;0.07;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.06;0.06;;0.05;0.05;;0.06;0.06;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;;0.05;0.05;
"2021-07-01 05:45:00";0.60;0.60;0;0.60;0.60;;0.60;0.60;;0.60;0.60;;0.60;0.60;;0.67;0.67;;0.67;0.67;;0.60;0.60;;0.59;0.59;;0.60;0.60;;0.62;0.62;;0.62;0.62;;0.67;0.67;;0.62;0.62;;0.62;0.62;;0.62;0.62;;0.65;0.65;;0.66;0.66;;0.65;0.65;;0.57;0.57;;0.57;0.57;;0.57;0.57;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;;0.53;0.53;
"2021-07-01 06:00:00";1.47;1.47;0;1.47;1.47;;1.47;1.47;;1.47;1.47;;1.46;1.46;;1.65;1.65;;1.65;1.65;;1.46;1.46;;1.45;1.45;;1.47;1.47;;1.51;1.51;;1.51;1.51;;1.65;1.65;;1.53;1.53;;1.53;1.53;;1.51;1.51;;1.60;1.60;;1.60;1.60;;1.60;1.60;;1.39;1.39;;1.40;1.40;;1.39;1.39;;1.29;1.29;;1.30;1.30;;1.30;1.30;;1.30;1.30;;1.29;1.29;;1.29;1.29;
"2021-07-01 06:15:00";2.69;2.69;0;2.69;2.69;;2.69;2.69;;2.68;2.68;;2.67;2.67;;3.01;3.01;;3.01;3.01;;2.68;2.68;;2.66;2.66;;2.68;2.68;;2.75;2.75;;2.75;2.75;;3.01;3.01;;2.79;2.79;;2.79;2.79;;2.77;2.77;;2.92;2.92;;2.93;2.93;;2.92;2.92;;2.54;2.54;;2.56;2.56;;2.55;2.55;;2.36;2.36;;2.37;2.37;;2.38;2.38;;2.38;2.38;;2.36;2.36;;2.36;2.36;
"2021-07-01 06:30:00";3.51;3.51;0;3.51;3.51;;3.51;3.51;;3.51;3.51;;3.49;3.49;;3.93;3.93;;3.94;3.94;;3.50;3.50;;3.47;3.47;;3.51;3.51;;3.59;3.59;;3.59;3.59;;3.93;3.93;;3.64;3.64;;3.64;3.64;;3.62;3.62;;3.82;3.82;;3.83;3.83;;3.82;3.82;;3.32;3.32;;3.34;3.34;;3.33;3.33;;3.08;3.08;;3.10;3.10;;3.11;3.11;;3.11;3.11;;3.09;3.09;;3.09;3.09;
"2021-07-01 06:45:00";6.43;6.43;5.1196288333333;6.43;6.43;;6.43;6.43;;6.42;6.42;;6.38;6.38;;7.19;7.19;;7.20;7.20;;6.40;6.40;;6.35;6.35;;6.42;6.42;;6.58;6.58;;6.58;6.58;;7.19;7.19;;6.67;6.67;;6.67;6.67;;6.62;6.62;;6.99;6.99;;7.01;7.01;;6.99;6.99;;6.08;6.08;;6.12;6.12;;6.08;6.08;;5.63;5.63;;5.67;5.67;;5.68;5.68;;5.68;5.68;;5.65;5.65;;5.65;5.65;
"2021-07-01 07:00:00";7.38;7.38;6.9011676666667;7.38;7.38;;7.38;7.38;;7.36;7.36;;7.32;7.32;;8.24;8.24;;8.26;8.26;;7.34;7.34;;7.28;7.28;;7.36;7.36;;7.54;7.54;;7.54;7.54;;8.24;8.24;;7.65;7.65;;7.65;7.65;;7.59;7.59;;8.02;8.02;;8.04;8.04;;8.02;8.02;;6.98;6.98;;7.02;7.02;;6.98;6.98;;6.46;6.46;;6.50;6.50;;6.52;6.52;;6.52;6.52;;6.48;6.48;;6.48;6.48;
"2021-07-01 07:15:00";8.04;8.04;7.5979571666667;8.04;8.04;;8.04;8.04;;8.01;8.01;;7.97;7.97;;8.98;8.98;;9.00;9.00;;7.99;7.99;;7.93;7.93;;8.01;8.01;;8.22;8.22;;8.22;8.22;;8.98;8.98;;8.33;8.33;;8.33;8.33;;8.27;8.27;;8.73;8.73;;8.76;8.76;;8.73;8.73;;7.60;7.60;;7.64;7.64;;7.60;7.60;;7.04;7.04;;7.08;7.08;;7.10;7.10;;7.10;7.10;;7.06;7.06;;7.06;7.06;
"2021-07-01 07:30:00";10.04;10.04;11.041733333333;10.04;10.04;;10.04;10.04;;10.02;10.02;;9.97;9.97;;11.22;11.22;;11.25;11.25;;9.99;9.99;;9.91;9.91;;10.02;10.02;;10.27;10.27;;10.27;10.27;;11.22;11.22;;10.41;10.41;;10.41;10.41;;10.34;10.34;;10.92;10.92;;10.94;10.94;;10.92;10.92;;9.50;9.50;;9.55;9.55;;9.50;9.50;;8.80;8.80;;8.85;8.85;;8.87;8.87;;8.87;8.87;;8.82;8.82;;8.82;8.82;
"2021-07-01 07:45:00";27.55;27.55;15.446086;27.55;27.55;;27.55;27.55;;27.48;27.48;;27.34;27.34;;30.79;30.79;;30.85;30.85;;27.41;27.41;;27.20;27.20;;27.48;27.48;;28.17;28.17;;28.17;28.17;;30.79;30.79;;28.57;28.57;;28.57;28.57;;28.36;28.36;;29.95;29.95;;30.02;30.02;;29.95;29.95;;26.06;26.06;;26.21;26.21;;26.06;26.06;;24.13;24.13;;24.27;24.27;;24.34;24.34;;24.34;24.34;;24.20;24.20;;24.20;24.20;
