Eddelak
 53,9569       9,1504        12            1            Azimut = 0    Höhe = 15

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk, Ta,Snd,RR, FF, RH
 2005, 1, 1, 1,0,0,0,0,4.8,19,4.4,2.6,93
 2005, 1, 1, 2,0,0,0,0,5.4,18,0.2,2.2,89
 2005, 1, 1, 3,0,0,0,0,5.2,17,0.3,1.9,88
 2005, 1, 1, 4,0,0,0,0,5.1,15,0.1,2.2,88
 2005, 1, 1, 5,0,0,0,0,5.0,14,0.1,2.1,84
 2005, 1, 1, 6,0,0,0,0,4.8,13,0.0,2.5,85
 2005, 1, 1, 7,0,0,0,0,4.7,12,0.1,2.0,84
 2005, 1, 1, 8,0,0,0,0,4.6,11,0.0,2.7,83
 2005, 1, 1, 9,0,0,0,0,4.6,10,0.0,2.4,85
 2005, 1, 1, 10,11,11,9,9,4.8,8,0.0,4.0,85
 2005, 1, 1, 11,24,24,22,22,5.0,7,0.1,3.4,80
 2005, 1, 1, 12,33,33,31,31,5.2,5,0.0,3.4,88
 2005, 1, 1, 13,38,38,36,36,5.4,4,0.0,3.6,88
 2005, 1, 1, 14,38,38,36,36,5.5,2,0.0,4.0,79
 2005, 1, 1, 15,24,24,22,22,5.5,1,0.0,3.6,80
 2005, 1, 1, 16,9,9,8,8,5.3,0,0.2,4.8,88
 2005, 1, 1, 17,0,0,0,0,5.0,0,0.4,3.8,88
 2005, 1, 1, 18,0,0,0,0,4.7,0,1.0,4.3,90
 2005, 1, 1, 19,0,0,0,0,4.3,0,2.0,3.4,93
 2005, 1, 1, 20,0,0,0,0,4.3,0,0.6,3.6,90
 2005, 1, 1, 21,0,0,0,0,4.0,0,1.3,3.6,94
 2005, 1, 1, 22,0,0,0,0,3.8,0,0.7,2.7,90
 2005, 1, 1, 23,0,0,0,0,3.7,0,0.4,2.2,88
 2005, 1, 1, 24,0,0,0,0,3.5,0,0.0,2.0,91
 2005, 1, 2, 1,0,0,0,0,3.3,0,0.0,2.1,91
 2005, 1, 2, 2,0,0,0,0,3.1,0,0.1,3.4,88
 2005, 1, 2, 3,0,0,0,0,3.0,0,0.0,4.6,91
 2005, 1, 2, 4,0,0,0,0,2.9,0,0.0,4.3,91
 2005, 1, 2, 5,0,0,0,0,2.8,0,0.0,5.0,92
 2005, 1, 2, 6,0,0,0,0,2.7,0,0.0,4.0,93
 2005, 1, 2, 7,0,0,0,0,2.7,0,0.0,4.8,93
 2005, 1, 2, 8,0,0,0,0,2.7,0,0.0,3.0,91
 2005, 1, 2, 9,0,0,0,0,2.7,0,0.0,3.4,91
 2005, 1, 2, 10,25,25,25,25,3.5,0,0.0,3.2,91
 2005, 1, 2, 11,58,56,62,58,4.4,0,0.0,3.4,88
 2005, 1, 2, 12,83,80,89,84,5.3,0,0.0,2.7,88
 2005, 1, 2, 13,109,94,135,105,5.9,0,0.0,3.8,76
 2005, 1, 2, 14,104,86,140,102,6.3,0,0.0,4.0,74
 2005, 1, 2, 15,60,57,71,63,6.3,0,0.0,3.2,77
 2005, 1, 2, 16,4,4,3,3,5.7,0,0.0,3.8,80
 2005, 1, 2, 17,0,0,0,0,5.3,0,0.0,3.2,81
 2005, 1, 2, 18,0,0,0,0,5.0,0,0.0,3.6,85
 2005, 1, 2, 19,0,0,0,0,4.6,0,0.0,2.5,81
 2005, 1, 2, 20,0,0,0,0,4.3,0,0.0,2.1,83
 2005, 1, 2, 21,0,0,0,0,4.0,0,0.0,1.8,89
 2005, 1, 2, 22,0,0,0,0,3.6,0,0.0,1.4,92
 2005, 1, 2, 23,0,0,0,0,3.3,0,0.0,1.0,91
 2005, 1, 2, 24,0,0,0,0,3.0,0,0.0,0.6,93
 2005, 1, 3, 1,0,0,0,0,2.5,0,0.0,0.5,97
 2005, 1, 3, 2,0,0,0,0,2.1,0,0.0,0.4,98
 2005, 1, 3, 3,0,0,0,0,1.6,0,0.0,0.7,97
 2005, 1, 3, 4,0,0,0,0,1.4,0,0.0,0.5,98
 2005, 1, 3, 5,0,0,0,0,1.1,0,0.0,0.5,98
 2005, 1, 3, 6,0,0,0,0,0.9,0,0.0,0.4,97
 2005, 1, 3, 7,0,0,0,0,0.8,0,0.0,0.6,100
