Badskaer
 57,2992       10,3818       29            1            Azimut = 0    Höhe = 20

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk, Ta,Snd,RR, FF, RH
 2005, 1, 1, 1,0,0,0,0,1.6,128,0.0,2.7,69
 2005, 1, 1, 2,0,0,0,0,0.8,127,0.0,2.2,72
 2005, 1, 1, 3,0,0,0,0,0.1,127,0.0,1.9,73
 2005, 1, 1, 4,0,0,0,0,-0.6,127,0.0,2.2,75
 2005, 1, 1, 5,0,0,0,0,-1.1,127,0.0,2.2,76
 2005, 1, 1, 6,0,0,0,0,-1.5,127,0.0,2.5,79
 2005, 1, 1, 7,0,0,0,0,-1.9,127,0.0,2.1,79
 2005, 1, 1, 8,0,0,0,0,-2.3,127,0.0,2.7,79
 2005, 1, 1, 9,0,0,0,0,-2.6,126,0.0,2.5,83
 2005, 1, 1, 10,8,8,7,7,-2.5,126,0.0,4.0,85
 2005, 1, 1, 11,67,37,176,65,-1.7,126,0.0,3.3,77
 2005, 1, 1, 12,90,54,198,87,-1.3,126,0.0,3.3,77
 2005, 1, 1, 13,70,62,95,72,-1.3,126,0.0,3.7,78
 2005, 1, 1, 14,52,51,57,54,-1.5,126,0.0,4.2,79
 2005, 1, 1, 15,26,26,25,25,-1.9,126,0.0,3.5,83
 2005, 1, 1, 16,1,1,1,1,-2.5,126,0.0,5.0,90
 2005, 1, 1, 17,0,0,0,0,-2.3,125,0.0,3.7,92
 2005, 1, 1, 18,0,0,0,0,-2.1,125,0.0,4.2,93
 2005, 1, 1, 19,0,0,0,0,-1.9,125,0.0,3.5,92
 2005, 1, 1, 20,0,0,0,0,-1.7,125,0.0,3.5,92
 2005, 1, 1, 21,0,0,0,0,-1.5,125,0.0,3.7,92
 2005, 1, 1, 22,0,0,0,0,-1.3,125,0.0,2.7,89
 2005, 1, 1, 23,0,0,0,0,-1.1,125,0.0,2.2,82
 2005, 1, 1, 24,0,0,0,0,-1.0,125,0.0,2.1,84
 2005, 1, 2, 1,0,0,0,0,-0.6,124,0.0,2.2,82
 2005, 1, 2, 2,0,0,0,0,-0.2,124,0.0,3.5,78
 2005, 1, 2, 3,0,0,0,0,0.3,124,0.0,4.8,78
 2005, 1, 2, 4,0,0,0,0,0.7,124,0.0,4.2,77
 2005, 1, 2, 5,0,0,0,0,1.0,123,0.0,5.0,78
 2005, 1, 2, 6,0,0,0,0,1.3,123,0.0,4.2,80
 2005, 1, 2, 7,0,0,0,0,1.6,122,0.0,4.8,80
 2005, 1, 2, 8,0,0,0,0,1.8,122,0.0,3.2,77
 2005, 1, 2, 9,0,0,0,0,2.0,121,0.0,3.5,74
 2005, 1, 2, 10,4,4,3,3,2.4,120,0.0,3.2,77
 2005, 1, 2, 11,17,17,14,14,3.1,119,0.0,3.5,75
 2005, 1, 2, 12,60,57,76,65,4.7,118,0.0,2.9,72
 2005, 1, 2, 13,65,62,81,71,5.7,116,0.0,3.7,68
 2005, 1, 2, 14,54,53,61,56,6.1,115,0.0,4.2,66
 2005, 1, 2, 15,25,25,23,23,5.8,113,0.0,3.2,71
 2005, 1, 2, 16,2,2,1,1,5.1,111,0.0,4.0,75
 2005, 1, 2, 17,0,0,0,0,5.1,110,0.0,3.3,76
 2005, 1, 2, 18,0,0,0,0,5.1,109,0.0,3.5,80
 2005, 1, 2, 19,0,0,0,0,4.9,107,0.7,2.6,82
 2005, 1, 2, 20,0,0,0,0,5.1,106,0.0,2.1,86
 2005, 1, 2, 21,0,0,0,0,5.0,105,0.1,1.8,87
 2005, 1, 2, 22,0,0,0,0,5.0,104,0.0,1.5,95
 2005, 1, 2, 23,0,0,0,0,5.0,103,0.0,1.1,92
 2005, 1, 2, 24,0,0,0,0,5.0,102,0.0,0.6,95
 2005, 1, 3, 1,0,0,0,0,4.6,102,0.0,0.5,98
 2005, 1, 3, 2,0,0,0,0,4.1,101,0.2,0.4,97
 2005, 1, 3, 3,0,0,0,0,3.7,100,0.0,0.8,98
 2005, 1, 3, 4,0,0,0,0,3.3,100,0.0,0.5,98
 2005, 1, 3, 5,0,0,0,0,3.1,99,0.0,0.6,98
 2005, 1, 3, 6,0,0,0,0,2.8,99,0.0,0.5,98
 2005, 1, 3, 7,0,0,0,0,2.6,98,0.0,0.6,98
 2005, 1, 3, 8,0,0,0,0,2.4,98,0.0,0.8,98
 2005, 1, 3, 9,0,0,0,0,2.3,97,0.0,0.9,98
 2005, 1, 3, 10,4,4,3,3,2.4,97,0.0,1.0,98
 2005, 1, 3, 11,33,33,33,33,2.8,96,0.0,1.8,97
 2005, 1, 3, 12,47,47,47,47,3.1,95,0.0,1.8,92
 2005, 1, 3, 13,53,53,54,54,3.2,95,0.0,2.1,91
 2005, 1, 3, 14,34,34,32,32,3.2,94,0.0,1.8,93
 2005, 1, 3, 15,27,27,26,26,3.1,93,0.0,1.4,92
 2005, 1, 3, 16,1,1,1,1,2.8,93,0.0,1.8,88
 2005, 1, 3, 17,0,0,0,0,2.5,92,0.0,2.6,89
 2005, 1, 3, 18,0,0,0,0,2.2,91,0.0,4.0,92
 2005, 1, 3, 19,0,0,0,0,2.0,91,0.0,4.0,96
 2005, 1, 3, 20,0,0,0,0,1.7,90,0.0,3.0,94
 2005, 1, 3, 21,0,0,0,0,1.4,90,0.0,3.0,97
 2005, 1, 3, 22,0,0,0,0,1.2,89,0.0,3.5,99
 2005, 1, 3, 23,0,0,0,0,0.9,89,0.0,3.3,100
 2005, 1, 3, 24,0,0,0,0,0.4,94,1.0,3.5,97
 2005, 1, 4, 1,0,0,0,0,0.4,93,0.0,3.3,98
